year,Energy,Danceability,Loudness,Acousticness,Speechiness,Beats Per Minute
1956,66.0,56.0,8.0,65.0,6.0,95.0
1958,37.2,52.6,13.2,74.6,7.2,144.6
1959,52.0,49.0,10.666666666666666,67.33333333333333,4.666666666666667,158.33333333333334
1960,35.0,27.0,9.0,55.0,3.0,87.0
1961,29.0,40.0,14.0,94.0,3.0,100.0
1962,39.0,64.66666666666667,10.666666666666666,58.0,4.0,121.33333333333333
1963,44.42857142857143,49.57142857142857,13.285714285714286,70.28571428571429,4.142857142857143,121.28571428571429
1964,53.55555555555556,48.666666666666664,9.0,44.0,3.7777777777777777,132.44444444444446
1965,45.86666666666667,47.8,10.866666666666667,47.6,3.466666666666667,107.8
1966,47.15,52.3,11.0,48.3,4.05,114.1
1967,49.972972972972975,48.32432432432432,9.945945945945946,38.91891891891892,4.405405405405405,109.78378378378379
1968,52.96296296296296,46.44444444444444,10.407407407407407,34.48148148148148,5.148148148148148,121.74074074074075
1969,50.71052631578947,46.421052631578945,10.947368421052632,29.07894736842105,5.631578947368421,119.5
1970,50.95,50.525,11.05,40.825,4.025,121.8
1971,51.27906976744186,47.30232558139535,11.30232558139535,39.41860465116279,5.674418604651163,121.88372093023256
1972,52.37931034482759,50.48275862068966,11.551724137931034,39.89655172413793,4.379310344827586,128.72413793103448
1973,50.06896551724138,46.758620689655174,10.827586206896552,38.48275862068966,4.655172413793103,118.82758620689656
1974,48.04347826086956,45.869565217391305,11.826086956521738,51.91304347826087,4.304347826086956,119.78260869565217
1975,54.166666666666664,49.888888888888886,10.194444444444445,37.0,4.138888888888889,115.08333333333333
1976,62.58064516129032,51.193548387096776,8.935483870967742,28.258064516129032,5.387096774193548,117.41935483870968
1977,62.31372549019608,53.64705882352941,9.411764705882353,26.980392156862745,5.823529411764706,124.13725490196079
1978,61.935483870967744,57.32258064516129,9.451612903225806,25.548387096774192,6.032258064516129,110.6774193548387
1979,63.525,59.575,9.45,22.975,4.625,121.675
1980,63.78378378378378,58.513513513513516,9.18918918918919,26.62162162162162,5.54054054054054,132.32432432432432
1981,54.266666666666666,54.93333333333333,10.866666666666667,30.4,3.6666666666666665,116.4
1982,57.09375,60.25,10.28125,31.75,4.8125,123.53125
1983,65.96666666666667,58.9,9.533333333333333,21.966666666666665,5.633333333333334,120.3
1984,64.8409090909091,52.56818181818182,9.477272727272727,21.068181818181817,4.0227272727272725,122.3409090909091
1985,58.705882352941174,59.73529411764706,11.852941176470589,30.61764705882353,4.382352941176471,117.41176470588235
1986,61.0,56.023809523809526,11.023809523809524,24.714285714285715,5.285714285714286,115.5
1987,62.26086956521739,55.02173913043478,10.304347826086957,29.152173913043477,4.630434782608695,122.8913043478261
1988,54.36666666666667,57.43333333333333,12.266666666666667,21.933333333333334,3.966666666666667,116.06666666666666
1989,62.029411764705884,58.23529411764706,9.294117647058824,20.441176470588236,4.823529411764706,120.20588235294117
1990,55.8421052631579,52.31578947368421,10.263157894736842,21.842105263157894,3.6315789473684212,123.10526315789474
1991,65.5,51.38461538461539,8.807692307692308,19.326923076923077,4.230769230769231,113.71153846153847
1992,60.457142857142856,49.857142857142854,9.285714285714286,24.428571428571427,5.0,123.2
1993,56.75,50.892857142857146,10.285714285714286,20.071428571428573,4.071428571428571,121.17857142857143
1994,63.72,48.76,8.16,22.96,5.24,116.64
1995,56.17948717948718,52.53846153846154,8.717948717948717,33.205128205128204,4.102564102564102,113.61538461538461
1996,56.041666666666664,55.458333333333336,9.708333333333334,24.333333333333332,5.041666666666667,116.16666666666667
1997,58.628571428571426,50.17142857142857,8.542857142857143,34.885714285714286,5.257142857142857,119.25714285714285
1998,57.13333333333333,51.84444444444444,9.244444444444444,31.11111111111111,4.711111111111111,116.46666666666667
1999,65.13793103448276,52.206896551724135,7.379310344827586,19.96551724137931,5.551724137931035,122.93103448275862
2000,63.696969696969695,55.93939393939394,7.9393939393939394,24.393939393939394,4.424242424242424,119.15151515151516
2001,63.63333333333333,54.5,8.133333333333333,25.233333333333334,6.2,125.66666666666667
2002,60.659574468085104,54.06382978723404,7.702127659574468,25.914893617021278,5.042553191489362,116.48936170212765
2003,63.82142857142857,50.392857142857146,6.642857142857143,23.892857142857142,5.714285714285714,123.14285714285714
2004,66.33333333333333,49.93333333333333,7.0,16.244444444444444,4.2,120.93333333333334
2005,60.93181818181818,51.81818181818182,7.840909090909091,33.77272727272727,5.75,120.54545454545455
2006,69.325,52.475,6.475,26.525,5.725,119.7
2007,71.30555555555556,51.111111111111114,6.194444444444445,21.52777777777778,3.888888888888889,127.86111111111111
2008,61.907407407407405,56.611111111111114,8.25925925925926,30.962962962962962,6.814814814814815,123.53703703703704
2009,63.86046511627907,55.95348837209303,7.348837209302325,24.186046511627907,4.674418604651163,126.69767441860465
2010,63.27272727272727,58.515151515151516,7.909090909090909,25.272727272727273,4.9393939393939394,123.03030303030303
2011,62.47826086956522,51.41304347826087,7.608695652173913,29.91304347826087,5.1521739130434785,121.1086956521739
2012,56.41463414634146,51.170731707317074,8.073170731707316,32.53658536585366,4.585365853658536,119.3170731707317
2013,64.29268292682927,56.63414634146341,7.2439024390243905,24.048780487804876,5.439024390243903,118.2439024390244
2014,64.65116279069767,57.44186046511628,7.232558139534884,24.976744186046513,5.395348837209302,124.5813953488372
2015,62.0,52.92857142857143,7.4523809523809526,24.428571428571427,5.357142857142857,121.88095238095238
2016,52.74285714285714,53.285714285714285,8.714285714285714,31.771428571428572,4.4,121.28571428571429
2017,63.333333333333336,56.333333333333336,6.977777777777778,24.355555555555554,6.6,118.77777777777777
2018,60.75,54.98076923076923,7.576923076923077,26.192307692307693,5.326923076923077,116.86538461538461
2019,58.666666666666664,56.38095238095238,8.142857142857142,34.57142857142857,6.857142857142857,117.04761904761905
